Site_ID,site,Cell_Name,ci,band
JHO305,JHO305MM1-SUKAMULIA,JHO305ML1,11,1850
JHO305,JHO305MM1-SUKAMULIA,JHO305ML2,21,1850
JHO305,JHO305MM1-SUKAMULIA,JHO305ML3,31,1850
JHO306,JHO306MM1-TUNGKOP-BARAT,JHO306ML1,11,1850
JHO306,JHO306MM1-TUNGKOP-BARAT,JHO306ML2,21,1850
JHO306,JHO306MM1-TUNGKOP-BARAT,JHO306ML3,31,1850
JHO314,JHO314MM1-BUKIT-MEUSARA,JHO314ML1,11,1850
JHO314,JHO314MM1-BUKIT-MEUSARA,JHO314ML2,21,1850
JHO314,JHO314MM1-BUKIT-MEUSARA,JHO314ML3,31,1850
JHO318,JHO318MM1-KRUENG-JREU,JHO318MT1,12,3500
JHO318,JHO318MM1-KRUENG-JREU,JHO318MT2,22,3500
JHO318,JHO318MM1-KRUENG-JREU,JHO318MT3,32,3500
KBJ005,KBJ005MM1-LINGGA-JULU,KBJ005RL1_LINGGAJULURL11,11,1850
KBJ005,KBJ005MM1-LINGGA-JULU,KBJ005ML2,21,1850
KBJ005,KBJ005MM1-LINGGA-JULU,KBJ005ML3,31,1850
KBJ037,KBJ037MM1-JL-VETERAN-BRASTAGI,KBJ037ML1,11,1850
KBJ037,KBJ037MM1-JL-VETERAN-BRASTAGI,KBJ037ML2,21,1850
KBJ037,KBJ037MM1-JL-VETERAN-BRASTAGI,KBJ037ML3,31,1850
KBJ082,KBJ082MM1-LAU-CIMBA-2,KBJ082ML1,11,1850
KBJ082,KBJ082MM1-LAU-CIMBA-2,KBJ082ML2,21,1850
KBJ082,KBJ082MM1-LAU-CIMBA-2,KBJ082ML3,31,1850
KBJ084,KBJ084MM1-RAYA-BERASTAGI,KBJ084ML1,11,1850
KBJ084,KBJ084MM1-RAYA-BERASTAGI,KBJ084ML2,21,1850
KBJ084,KBJ084MM1-RAYA-BERASTAGI,KBJ084ML3,31,1850
KBJ090,KBJ090MM1-DAULU,KBJ090ML1,11,1850
KBJ090,KBJ090MM1-DAULU,KBJ090ML2,21,1850
KBJ090,KBJ090MM1-DAULU,KBJ090ML3,31,1850
KIS157,E-KIS157MM1-JATI-SARI,KIS157MR1,13,500
KIS157,E-KIS157MM1-JATI-SARI,KIS157MR2,23,500
KIS157,E-KIS157MM1-JATI-SARI,KIS157MR3,33,500
KIS161,KIS161MM2-PELABUHAN-KUALA-TANJUNG,KIS161ME1,14,38750
KIS161,KIS161MM2-PELABUHAN-KUALA-TANJUNG,KIS161ME2,24,38750
KIS161,KIS161MM2-PELABUHAN-KUALA-TANJUNG,KIS161ME3,34,38750
KIS236,KIS236MM1-MALAHA-BERKAT,KIS236MT1,12,3500
KIS236,KIS236MM1-MALAHA-BERKAT,KIS236MT2,22,3500
KIS236,KIS236MM1-MALAHA-BERKAT,KIS236MT3,32,3500
KIS487,KIS487MM1-MEKAR-BARU,KIS487ML1,11,1850
KIS487,KIS487MM1-MEKAR-BARU,KIS487ML2,21,1850
KIS487,KIS487MM1-MEKAR-BARU,KIS487ML3,31,1850
KIS489,KIS489MM1-SM-RAJA-KIS,KIS489ML1,11,1850
KIS489,KIS489MM1-SM-RAJA-KIS,KIS489ML2,21,1850
KIS489,KIS489MM1-SM-RAJA-KIS,KIS489ML3,31,1850
KIS527,KIS527MM1-PONDOK-INDAH-KISARAN,KIS527ML1,11,1850
KIS527,KIS527MM1-PONDOK-INDAH-KISARAN,KIS527ML2,21,1850
KIS527,KIS527MM1-PONDOK-INDAH-KISARAN,KIS527ML3,31,1850
KIS538,KIS538MM1-TANAH-DATAR,KIS538ML1,11,1850
KIS538,KIS538MM1-TANAH-DATAR,KIS538ML2,21,1850
KIS538,KIS538MM1-TANAH-DATAR,KIS538ML3,31,1850
KIS548,KIS548MM1-INALUM-2,KIS548ML1,11,1850
KIS548,KIS548MM1-INALUM-2,KIS548ML2,21,1850
KIS548,KIS548MM1-INALUM-2,KIS548ML3,31,1850
KIS572,KIS572MM1-PEMATANG-JERING,KIS572MR1,13,500
KIS572,KIS572MM1-PEMATANG-JERING,KIS572MR2,23,500
KIS572,KIS572MM1-PEMATANG-JERING,KIS572MR3,33,500
KIS682,E-KIS682MM1-SEI-SUKA-DERAS,KIS682ML1,11,1850
KIS682,E-KIS682MM1-SEI-SUKA-DERAS,KIS682ML2,21,1850
KIS682,E-KIS682MM1-SEI-SUKA-DERAS,KIS682ML3,31,1850
KIS684,KIS684MM1-SIUMBUT-BARU-3,KIS684MR1,13,500
KIS684,KIS684MM1-SIUMBUT-BARU-3,KIS684MR2,23,500
KIS684,KIS684MM1-SIUMBUT-BARU-3,KIS684MR3,33,500
KIS711,KIS711MM1-KISARAN-BARAT,KIS711ML1,11,1850
KIS711,KIS711MM1-KISARAN-BARAT,KIS711ML2,21,1850
KIS711,KIS711MM1-KISARAN-BARAT,KIS711ML3,31,1850
KIS714,KIS714MM1-KISARAN-BARU,KIS714ML1,11,1850
KIS714,KIS714MM1-KISARAN-BARU,KIS714ML2,21,1850
KIS714,KIS714MM1-KISARAN-BARU,KIS714ML3,31,1850
KIS729,KIS729MM1-LALANG-2,KIS729ML1,11,1850
KIS729,KIS729MM1-LALANG-2,KIS729ML2,21,1850
KIS729,KIS729MM1-LALANG-2,KIS729ML3,31,1850
KPD062,KPD062MM1-PINANGSORI,KPD062ML1,11,1850
KPD062,KPD062MM1-PINANGSORI,KPD062ML2,21,1850
KPD062,KPD062MM1-PINANGSORI,KPD062ML3,31,1850
KPD285,KPD285MM2-SIBABANGUN-2,KPD285MR1,13,500
KPD285,KPD285MM2-SIBABANGUN-2,KPD285MR2,23,500
KPD285,KPD285MM2-SIBABANGUN-2,KPD285MR3,33,500
KRB060,E_KRB060MM1_MEDANGARA,KRB060ML1_MEDANGARAML01,11,1850
KRB060,E_KRB060MM1_MEDANGARA,KRB060ML1_MEDANGARAML02,21,1850
KRB060,E_KRB060MM1_MEDANGARA,KRB060ML1_MEDANGARAML03,31,1850
KRB090,KRB090MM1-BAHAGIA,KRB090ML1,11,1850
KRB090,KRB090MM1-BAHAGIA,KRB090ML2,21,1850
KRB090,KRB090MM1-BAHAGIA,KRB090ML3,31,1850
KRB106,KRB106MM1-JUANDA-BUNDAR,KRB106MR1,13,500
KRB106,KRB106MM1-JUANDA-BUNDAR,KRB106MR2,23,500
KRB106,KRB106MM1-JUANDA-BUNDAR,KRB106MR3,33,500
KRB107,KRB107MM1-TANJUNG-MULIA,KRB107ML1,11,1850
KRB107,KRB107MM1-TANJUNG-MULIA,KRB107ML2,21,1850
KRB107,KRB107MM1-TANJUNG-MULIA,KRB107ML3,31,1850
KRB116,KRB116MM1-BUKIT-SULING,KRB116MT1,12,3500
KRB116,KRB116MM1-BUKIT-SULING,KRB116MT2,22,3500
KRB116,KRB116MM1-BUKIT-SULING,KRB116MT3,32,3500
KRB141,E_KRB141MM2_SUNGAILIPUT,KRB141MR1,13,500
KRB141,E_KRB141MM2_SUNGAILIPUT,KRB141MR2,23,500
KRB141,E_KRB141MM2_SUNGAILIPUT,KRB141MR3,33,500
KRB171,KRB171MM1-DESA-BUNDAR2,KRB171ML1,11,1850
KRB171,KRB171MM1-DESA-BUNDAR2,KRB171ML2,21,1850
KRB171,KRB171MM1-DESA-BUNDAR2,KRB171ML3,31,1850
KRB172,KRB172MM1-PERTAMINA-RANTAU-2,KRB172MR1,13,500
KRB172,KRB172MM1-PERTAMINA-RANTAU-2,KRB172MR3,33,500
KRB206,KRB206MM1-DESA-RANTAU,KRB206ML1,11,1850
KRB206,KRB206MM1-DESA-RANTAU,KRB206ML2,21,1850
KRB206,KRB206MM1-DESA-RANTAU,KRB206ML3,31,1850
KRB216,KRB216MM1-SIMPANG-OPAK-2,KRB216ML1,11,1850
KRB216,KRB216MM1-SIMPANG-OPAK-2,KRB216ML2,21,1850
KRB216,KRB216MM1-SIMPANG-OPAK-2,KRB216ML3,31,1850
KRB717,KRB717MM1-DESA-BUNDAR,KRB717ML1,11,1850
KRB717,KRB717MM1-DESA-BUNDAR,KRB717ML2,21,1850
KRB717,KRB717MM1-DESA-BUNDAR,KRB717ML3,31,1850
LBP268,LBP268MM1-LAUT-TADOR,LBP268MR2,23,500
LBP268,LBP268MM1-LAUT-TADOR,LBP268MR3,33,500
LGS021,LGS021MM1-INDRA-MAKMUR,LGS021MR1,13,500
LGS021,LGS021MM1-INDRA-MAKMUR,LGS021MR2,23,500
LGS021,LGS021MM1-INDRA-MAKMUR,LGS021RR1_INDRAMAKMURRR31,33,500
LGS037,LGS037MM1-PAYA-BUJOK-SEULAMAK,LGS037ML1,11,1850
LGS037,LGS037MM1-PAYA-BUJOK-SEULAMAK,LGS037ML2,21,1850
LGS037,LGS037MM1-PAYA-BUJOK-SEULAMAK,LGS037ML3,31,1850
LGS040,LGS040MM1-PASI-PUTEH,LGS040ML1,11,1850
LGS040,LGS040MM1-PASI-PUTEH,LGS040ML2,21,1850
LGS040,LGS040MM1-PASI-PUTEH,LGS040ML3,31,1850
LGS046,E-LGS046MM1-LOKOP,LGS046MT1,12,3500
LGS046,E-LGS046MM1-LOKOP,LGS046MT2,22,3500
LGS046,E-LGS046MM1-LOKOP,LGS046MT3,32,3500
LGS051,LGS051MM1-SELEBOK-CINA,LGS051ML1,11,1850
LGS051,LGS051MM1-SELEBOK-CINA,LGS051RL1_SELEBOKCINARL21,21,1850
LGS051,LGS051MM1-SELEBOK-CINA,LGS051ML3,31,1850
LGS070,LGS070MM1-BLANG-UBIT,LGS070ML1,11,1850
LGS070,LGS070MM1-BLANG-UBIT,LGS070ML2,21,1850
LGS070,LGS070MM1-BLANG-UBIT,LGS070ML3,31,1850
LGS078,LGS078MM1-ALUE-UDEP,LGS078ML1,11,1850
LGS078,LGS078MM1-ALUE-UDEP,LGS078ML2,21,1850
LGS078,LGS078MM1-ALUE-UDEP,LGS078ML3,31,1850
LGS082,LGS082MM1-LANGSA-LAMA,LGS082ML1,11,1850
LGS082,LGS082MM1-LANGSA-LAMA,LGS082ML2,21,1850
LGS082,LGS082MM1-LANGSA-LAMA,LGS082ML3,31,1850
LGS084,N_LGS084MM1_DESAGRONGGRONG,LGS084ML1,11,1850
LGS084,N_LGS084MM1_DESAGRONGGRONG,LGS084ML2,21,1850
LGS084,N_LGS084MM1_DESAGRONGGRONG,LGS084ML3,31,1850
LGS096,LGS096MM1-RANTAU-PAUH,LGS096ML1,11,1850
LGS096,LGS096MM1-RANTAU-PAUH,LGS096ML2,21,1850
LGS096,LGS096MM1-RANTAU-PAUH,LGS096ML3,31,1850
LGS117,LGS117MM1-ULEE-ATEUNG,LGS117ML1,11,1850
LGS117,LGS117MM1-ULEE-ATEUNG,LGS117ML2,21,1850
LGS117,LGS117MM1-ULEE-ATEUNG,LGS117ML3,31,1850
LGS124,LGS124MM1-GEUDUBANG-ACEH,LGS124ML1,11,1850
LGS124,LGS124MM1-GEUDUBANG-ACEH,LGS124ML2,21,1850
LGS124,LGS124MM1-GEUDUBANG-ACEH,LGS124ML3,31,1850
LGS134,LGS134MM1-BAYEUN-LANGSA,LGS134ML1,11,1850
LGS134,LGS134MM1-BAYEUN-LANGSA,LGS134ML2,21,1850
LGS134,LGS134MM1-BAYEUN-LANGSA,LGS134ML3,31,1850
LGS175,LGS175MM1-BUKET-BATA,LGS175ML1,11,1850
LGS175,LGS175MM1-BUKET-BATA,LGS175ML2,21,1850
LGS175,LGS175MM1-BUKET-BATA,LGS175ML3,31,1850
LGS192,LGS192MM1-BABAH-KRUENG,LGS192ML1,11,1850
LGS192,LGS192MM1-BABAH-KRUENG,LGS192ML2,21,1850
LGS192,LGS192MM1-BABAH-KRUENG,LGS192ML3,31,1850
LGS202,LGS202MM1-PASIR-PUTIH,LGS202ML1,11,1850
LGS202,LGS202MM1-PASIR-PUTIH,LGS202ML2,21,1850
LGS202,LGS202MM1-PASIR-PUTIH,LGS202ML3,31,1850
LGS210,LGS210MM1-MC-LANGSA-6,LGS210ML1,11,1850
LGS210,LGS210MM1-MC-LANGSA-6,LGS210ML2,21,1850
LGS210,LGS210MM1-MC-LANGSA-6,LGS210ML3,31,1850
LGS227,LGS227MM1-SEUNEUBOK-UTARA,LGS227ML1,11,1850
LGS227,LGS227MM1-SEUNEUBOK-UTARA,LGS227ML2,21,1850
